strategy,DBC,EEM,EFA,GLD,IEF,IWM,LQD,QQQ,SPY,TLT,VNQ
SPY Buy & Hold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Equal Weight,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Inverse Volatility,0.0756844649088128,0.0645988624245073,0.08099187211295882,0.060326077094271485,0.18795515032842386,0.05828925425606722,0.16806177994673746,0.061115394306974075,0.08080120903861959,0.08899145295103406,0.07318448263159327
MPT Minimum Variance,0.20092078443880498,0.0,0.03425823611687396,0.01815169356670456,0.2999999999994946,0.0,0.2999999999994946,0.0,0.11048453037975378,0.031263450654312755,0.004921304844560847
MPT Maximum Sharpe,0.18792237920039936,0.0,0.031034826566965705,0.041203290444094876,0.2999999999998805,0.0,0.2999999999998805,0.0,0.13569660285742863,0.0,0.004142900931350402
Black-Litterman Momentum,0.30000000000004173,0.30000000000004173,0.0,0.09999999999987465,0.0,0.0,0.0,0.30000000000004173,0.0,0.0,0.0
Regime-Aware Black-Litterman,0.29936379957688025,0.2999999999999345,0.0,0.0,0.0,0.10063620042325079,0.0,0.2999999999999345,0.0,0.0,0.0
