strategy,total_return,cagr,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_turnover,estimated_total_cost
MPT Maximum Sharpe,2.2162196649307475,0.07356856055677152,0.07353845165000902,0.07125918353505858,1.0319856052494494,0.9816914235827519,-0.1874302020990375,0.39251177095726625,1.3648044158607426,0.02245969806577182
MPT Minimum Variance,1.6458728857185347,0.06090909516522247,0.061199814036972,0.06426684417790612,0.9522766337733366,0.9020793783219363,-0.18618543741565063,0.3271421009648872,0.4504156102464878,0.007412196570207082
Inverse Volatility,2.1588680867657324,0.07239539364004832,0.07324085630291698,0.08163331970937177,0.897193162836776,0.8438875388268223,-0.2126558164247888,0.34043458042753705,0.35844408397193417,0.005898681016792107
SPY Buy & Hold,8.234699600869043,0.14463144158644203,0.14978043099106042,0.17103515724288815,0.8757289051300502,0.8232085020479075,-0.33717269301235486,0.428953603253815,0.060766819387509045,0.001
Equal Weight,2.8081688630775794,0.08464664265643229,0.08707024233861649,0.10760847059519833,0.8091392978361102,0.7606030764442795,-0.22571352682949508,0.37501803212872886,0.3642309660939853,0.0059939119698085574
Regime-Aware Black-Litterman,2.938641763889858,0.08686927596481597,0.09077575015056936,0.12199906644259345,0.7440692195237725,0.6819184996558433,-0.19703356732729982,0.4408856680776336,5.810646984547659,0.09562203589253628
Black-Litterman Momentum,3.1878190177849275,0.09092834684231388,0.09596844801504294,0.13342835281897375,0.7192507888128261,0.6619439486556368,-0.2363232818952994,0.38476254270452603,5.7246086933419935,0.09420615972733827
